order_id,order_date,product,category,price,quantity,total_sales,city,platform,payment_method,order_status
10001,2025-05-06,Car LED Light,Accessories,709,3,2127,Jaipur,Amazon,UPI,Delivered
10002,2025-01-16,Reverse Parking Camera,Electronics,7212,1,7212,Mumbai,Amazon,Card,Delivered
10003,2025-04-23,Android Car Display,Electronics,3557,4,14228,Hyderabad,Shopify,COD,Delivered
10004,2025-06-24,Car Music System,Electronics,11738,4,46952,Udaipur,Amazon,Card,Returned
10005,2025-02-19,Car LED Light,Accessories,1819,4,7276,Ahmedabad,Flipkart,COD,Delivered
10006,2025-07-13,Car Air Freshener,Accessories,9085,1,9085,Mumbai,Shopify,COD,Returned
10007,2025-01-24,Reverse Parking Camera,Electronics,3450,1,3450,Jaipur,Flipkart,UPI,Cancelled
10008,2025-08-21,Car LED Light,Accessories,6527,3,19581,Ahmedabad,Amazon,COD,Returned
10009,2025-12-26,Car Phone Holder,Accessories,11280,3,33840,Mumbai,Shopify,Card,Cancelled
10010,2025-05-19,Car Music System,Electronics,7873,4,31492,Jaipur,Shopify,COD,Delivered
10011,2025-06-11,Car Phone Holder,Accessories,13764,1,13764,Pune,Flipkart,UPI,Cancelled
10012,2025-04-19,Reverse Parking Camera,Electronics,14658,3,43974,Hyderabad,Flipkart,Net Banking,Cancelled
10013,2025-10-15,Car Dash Camera,Electronics,2587,2,5174,Udaipur,Shopify,Net Banking,Shipped
10014,2025-09-18,Car Vacuum Cleaner,Electronics,3893,2,7786,Hyderabad,Amazon,UPI,Delivered
10015,2025-12-15,Car Music System,Electronics,10580,2,21160,Pune,Shopify,UPI,Shipped
10016,2025-09-28,Car Floor Mat,Accessories,10063,4,40252,Udaipur,Shopify,UPI,Delivered
10017,2025-11-25,Android Car Display,Electronics,12602,3,37806,Ahmedabad,Amazon,COD,Shipped
10018,2025-05-15,Car Music System,Electronics,7733,1,7733,Bangalore,Shopify,UPI,Returned
10019,2025-03-20,Android Car Display,Electronics,10277,2,20554,Ahmedabad,Amazon,UPI,Returned
10020,2025-07-05,Car Air Freshener,Accessories,619,1,619,Udaipur,Amazon,UPI,Cancelled
10021,2025-09-06,Reverse Parking Camera,Electronics,1590,1,1590,Mumbai,Shopify,Card,Cancelled
10022,2025-05-16,Car Air Freshener,Accessories,9307,2,18614,Pune,Amazon,Card,Returned
10023,2025-08-13,Car Floor Mat,Accessories,11304,3,33912,Hyderabad,Amazon,Card,Cancelled
10024,2025-10-29,Car LED Light,Accessories,5839,1,5839,Jaipur,Shopify,Card,Delivered
10025,2025-04-28,Car LED Light,Accessories,11897,1,11897,Mumbai,Amazon,COD,Delivered
10026,2025-12-09,Android Car Display,Electronics,4199,3,12597,Hyderabad,Amazon,Card,Shipped
10027,2025-07-28,Car Phone Holder,Accessories,13155,4,52620,Jaipur,Amazon,UPI,Shipped
10028,2025-08-28,Car Vacuum Cleaner,Electronics,7239,4,28956,Delhi,Shopify,UPI,Delivered
10029,2025-02-25,Car Floor Mat,Accessories,12231,3,36693,Jaipur,Amazon,Card,Shipped
10030,2025-05-23,Car Music System,Electronics,7212,2,14424,Hyderabad,Amazon,UPI,Shipped
10031,2025-11-30,Android Car Display,Electronics,1904,1,1904,Delhi,Amazon,Card,Cancelled
10032,2025-04-20,Car Floor Mat,Accessories,8256,4,33024,Pune,Amazon,Card,Shipped
10033,2025-08-21,Car Seat Cover,Accessories,6696,3,20088,Udaipur,Flipkart,Net Banking,Cancelled
10034,2025-01-30,Car Phone Holder,Accessories,5161,2,10322,Delhi,Shopify,COD,Delivered
10035,2025-09-15,Car Seat Cover,Accessories,9871,4,39484,Bangalore,Amazon,UPI,Cancelled
10036,2025-12-12,Car LED Light,Accessories,10049,1,10049,Jaipur,Flipkart,UPI,Cancelled
10037,2025-11-14,Reverse Parking Camera,Electronics,10040,1,10040,Mumbai,Flipkart,COD,Returned
10038,2025-05-03,Car Phone Holder,Accessories,11272,3,33816,Udaipur,Flipkart,Card,Returned
10039,2025-01-05,Car Air Freshener,Accessories,5480,1,5480,Hyderabad,Shopify,UPI,Delivered
10040,2025-03-09,Android Car Display,Electronics,3792,3,11376,Ahmedabad,Amazon,Card,Returned
10041,2025-10-06,Car Dash Camera,Electronics,2884,4,11536,Udaipur,Shopify,UPI,Returned
